Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,Body,Electrical,Design,Software
Peer Seeder,https://robotech2022.devpost.com/submissions/317980-peer-seeder,Submitted (Gallery/Visible),Pending,Submit,04/03/2022 02:55:20,"Inspiration

We were inspired by the fitbit app, which enabled competition amongst friends to get into better shape. We wondered if we can make an application like this to promote sustainability.

What it does

PeerSeeder is a social network to compete with friends in planting trees. It is an app where you add friends, and compete with those friends to plant as many trees as possible. The app includes a map of all the trees planted so far. A competition to plant trees is great for sustainibility.

How we built it

Express.js
Node.js
jQuery
MongoDB
Mapbox GL API

Challenges we ran into

There were a lot of challenges surrounding organizing and managing the data. We had to incorporate the addition of trees and users. We were not able to set up an account system to manage users.

Accomplishments that we're proud of

We were able to host the database on the cloud so that it is accessible from any device and not locally. The database also updates in real-time. We also implemented a user-friendly interface.

What we learned

How to operate databases and manage data. Also the Mapbox API and its functionalities. Overall, we became more familiar with web development. 

What's next for Peer Seeder

Pictures and info about specific tree
SeedScore
Add an account system
Access to friend’s pages
Monthly goals and awards
Competition between major corporations 
iOS support
",https://github.com/isanjit3/peer-seeder,https://vimeo.com/695344731,"Software Track, [Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Accessible Hack","javascript, html, scss, express.js, node.js, jquery, mapbox, mongodb",,University of Maryland - College Park,1,no,no,no,yes
Untitled,"",Draft,Pending,Manage team,04/03/2022 07:47:25,"","",,"","",,Georgia Institute of Technology - Main Campus,0,"","","",""
Jet Extension,https://robotech2022.devpost.com/submissions/318155-jet-extension,Submitted (Gallery/Visible),Pending,Submit,04/03/2022 07:58:34,"Inspiration

Toyota

What it does

by adding an extension to the jet engine, it filters partially the burning fuel & mixture from CO N .....

How we built it

the CAD model gives initial thoughts about the design

Challenges we ran into

costs and testing
","",https://youtu.be/nl0VtjW4IhM,"",autodesk-fusion-360,,"",0,no,no,yes,no
You Click We Pick,https://robotech2022.devpost.com/submissions/318156-you-click-we-pick,Submitted (Gallery/Visible),Pending,Submit,04/03/2022 08:00:41,"Inspiration

We wanted to combine our knowledge and interest in computer vision/machine learning to tackle the area of sustainability.

What it does

We categorize different objects that are placed in front of a camera as either items that can be recycled, used for compost, or if they are regular trash.

How we built it

We built a website using React JS and incorporated computer vision algorithms using Python to categorize the objects.

Challenges we ran into

We were planning on making a mobile app. However, we were not able to do so due to compatibility issues. Therefore, we improvised and decided to make a web app using React JS. 

Accomplishments that we're proud of

Even though succumbed to a major obstacle, we still did not give up and even stayed up all night to try and make the most of our time during the hackathon.

What we learned

We learnt that in software programming, you run into a lot of errors. Even if something seems easy or trivial, often times those are the tasks that turn out to be the biggest headaches.

What's next for You Click We Pick

Create a mobile app, improve the UI for our app, get a more accurate dataset, and a wider range of classes.
","",https://www.youtube.com/watch?v=_v1PWAP6nNM,"","python, javascript, react, html, css3, flask, yolo, vision",,Georgia Institute of Technology - Main Campus,1,no,no,no,yes
 The Cooking Father,https://robotech2022.devpost.com/submissions/318163-the-cooking-father,Submitted (Gallery/Visible),Pending,Submit,04/03/2022 08:09:14,"

Introduction

Almost fifty percent of America’s food is wasted, costing the nation billions of pounds of food and $218 billion per year. Among the points along the food chain where food waste flourishes, the household was the most significant, with over 50% of food waste happening at this level due to poor planning, overbuying, food spoilage, and other factors. Our app aims to reduce food waste by making food preparation significantly easier at the household level.

What it does

Our app aims to make food preparation significantly easier. After compiling the ingredients in the kitchen at hand, it gives recipes that the user can choose to cook from a database of over three hundred thousand recipes. The user is then able to decide which recipes they will make on the app. After each recipe is complete, the ingredients used in the recipe are removed from the stored list of ingredients, and the recipe is stored in a database for future use.

How we built it

We first began by dividing our team into different roles corresponding to backend and frontend development. Our design process was very collaborative however, owing to our small team size. One person would design the frontend portion of our app through Android Studio, while another would train our model in an efficient manner. We helped each other throughout this process.

Challenges we ran into

One of the biggest challenges we faced was the time constraint. Many of the various techniques we approached, such as database design or web scraping, were either unfamiliar or required rehashing, so lots of time was spent reading through documentation. 

Accomplishments that we're proud of

We were able to create a working app successfully! Our app integrated multiple technologies such as NLP and frontend development concisely in the given time constraints, and we are very proud of that.

What we learned

Decide on an idea earlier!
From a technical perspective, this was the first time we have ever used databases and made our own, so we had to learn to use SQL and how to connect various queries to our frontend. We also decided to use an unfamiliar language, Dart, and a framework for it called Flutter. This was language was difficult at first to understand, especially considering most structures were framed as widgets; we were required to read documentation and do heavy amounts of experimentation to learn how to use the language fluidly. For our backend, we learned an NLP algorithm called condition random fields. We used this to take a string and tag each word with a label, in this case, name of an ingredient, quantity, and unit. In addition to this, we also used Flask to create our own API, which also strayed into unfamiliar territory. Overall, we learned a lot in this hackathon and ventured far out of our comfort zone. 

What's next for The Cooking Father

Due to time constraints, we had to abandon some initial ideas for our project, primarily the ability to generate a list of ingredients by scanning them in person. In the future, we hope to revisit this idea and flesh it out more thoroughly. In addition, the user interface of our app is still rather barebones, so we hope to improve these details for a better user experience.
","",https://youtu.be/piahc9_LR3E,"","python, flutter, dart, android-studio, sqlite, natural-language-processing, flask, json, database",,"Northeastern University, University of Maryland - College Park",2,no,no,no,yes
Tech Sustainable Text Solutions,https://robotech2022.devpost.com/submissions/318183-tech-sustainable-text-solutions,Submitted (Gallery/Visible),Pending,Submit,04/03/2022 08:33:27,"Inspiration

We were going around campus and had a hard time finding signs without crossed/scratched out t's. Does anyone happen to know why?

What it does

It allows students to sustainably do their magic (removing t's and/or other letters they may be interested in removing) on a large body of text/words in a quick and efficient way. This can make students have an even more sustainable schedule by saving time out of their day and create reusable sentence structures that will definitely not be flagged for plagiarism!

How we built it

Using Visual Studio we developed a GUI in c++ that allowed our project to have a more appealing user experience as opposed to the console commands which would not be as sustainable because not everyone will have the knowledge on how it works. We developed most of the logic using IOstream to read and write into files that can have an input/output location determined by the user. We included two variants of text recycling, one that leaves a space after removing certain characters and another that removes the character without having extra spaces. So on the signs is it read as Nanoechnology or Nano echnology?

Challenges we ran into

Finding an idea to work on was quite a challenge in our opinions...
After we finally settled on an idea we believed to be sustainable and useful to everyone/everywhere, we decided to make the project also have a UI. SO....
When using C++ on Visual Studio to create the GUI, initially we could not get it to even run due to the entry point not being defined. We double checked to make sure everything was fine but for some odd reason it just decided to work after a quick lunch break. Afterwards we had developed the text recycling elsewhere to first make sure it was working. There were some simple errors such as the input parsing that needed to be fixed but all else went well. Many problems arose while we tried to combine the two files though. The input box had a default type of string^ when it stored the input so when we tried to call the ofstream or ifstream using a variable with type string^ it would cause many errors and exit on its own. Also the file locations for how the GUI would store the text and where it would read in was something that we needed to figure out to ensure that it would properly function.

Accomplishments that we're proud of

Making a C++ GUI and understanding how to use Visual Studio (we normally use VS code). Also the creation of a sustainable project idea.

What we learned

There was a lack of manpower as we were only a 2 man team unfortunately. In the future it would be more sustainable for our brains to have more teammates to bounce ideas off of and have more people work together to create an impressive project from simple and sustainable ideas.
",https://github.com/Shaunw0814/TechSustainableText,https://youtu.be/f1Thnh4rzfY,"Software Track, [Texas Instruments] Most Creative Hack ","c++, visual-studio, gui, iostream",,University of Florida,1,no,no,no,yes
NavAR,https://robotech2022.devpost.com/submissions/318195-navar,Submitted (Gallery/Visible),Pending,Submit,04/03/2022 08:50:42,"Inspiration

Have you ever felt lost because it was your first time there? Whether it was an airport, a
mall, a grocery store, hospital. Do you face a problem traveling around a city with ease
(maybe if you've just moved to that city or maybe you just are stuck in traffic?). It is a general
problem that one feels unfamiliar with the procedures to be followed there. Furthermore, it is
hard to find particular things such as Information Desk or Restrooms. Worse case, the
person may have disabilities like blindness or muteness. GPS navigation may help you in
getting from one place to another, but it can't be specific to guide you through every single
building in the entire city and sometimes can't really help people who have disabilities. Who
can possibly be our hero?

So, I decided to develop a mobile application with AR Technology that could be mirrored on the
windscreens of the Vehicles completely replacing the need for a smartphone to be looked at. This will
be coupled up with a synced mobile application which would continue the navigation indoor through
the mobile in AR. The final aim will be to project directional arrows navigating the user to his final
destination using Augmented Reality on the windscreen of the vehicle. In this duration, I aim to
build an android AR application that will implement navigation and create a visually attractive
application.

It can also guide the robot during its journey to its destination with AR Technology.

It will help customers navigate in the real world. It is estimated that the proliferation of AR-based
inland navigation in different consumption sectors will grow tremendously over the next few years
as technologies evolve. As users become more digital-savvy and ready to apply new technologies in
their daily lives.

What it does

It is always annoying and dangerous to look at your small 2d map to navigate while driving a car.
Wouldn’t it be better if we had something directly in front of us, say on the windshield of your car,
that is not distracting but also helps us in navigation. Here comes AR-based navigation to the
rescue. We directly project or “augment the path” from our app onto the windshield which removes
the need to divert your focus while driving. It is designed and blended in such a way so that the
projection is not distracting but rather complements the driving experience.

My application is not only limited to solving one problem but accounts for many issues.

Along with this, our app also offers indoor navigation in big complexes like shopping malls
warehouses, etc. In big MNCs, warehousing methods and logistics play a vital role in keeping the
supply chain rolling and working. Various methods are used for indoor navigation in these complexes
such as embedded computers that give you directly according to your location or maps on 2D
screen computers. Most of these solutions require a lot of infrastructure and investment. We have
tackled this problem by providing a complete AR-based indoor navigation system with no heavy
infrastructure requirement.

As the current navigation solution uses GPS and has an inaccuracy of 4-5 meters.


There are no maps or path data available for the inside of all the buildings.
Thus, we have to give the ability to the place owners to create paths in the area and define and map.
This will be a one-time process and would take about 5-6 minutes to mop a floor, and thus would
be most feasible as it will increase accuracy.
It will also provide an enhanced shopping experience.
User Logged in with a unique Session ID.
Map of the Store downloaded in XML form and unpacked


How I built it

My application is built using Unity Engine, Google AR Core, Vuforia, and Firebase is used as a cloud
database storage.

Creating the Map: Indoor maps are built by the user simply walking inside a building, malls, etc.
marking down locations ( like RestRoom, Lift, Stairs, Security Room, etc.) or making paths by setting
down markers in a virtual AR world with a click of a button, supported by our fairly simple and
intuitive UI. This way we are making an indoor map for the building.

After marking down the locations, the data is stored in our cloud storage and can be loaded back into
our application with a USER ID that he specifies before uploading the map. Firebase was integrated
into our project for this purpose.

Wandering in Map: simply put in the USER ID of that building, and the indoor map of that building is
loaded in their application from firebase.

Users specify the location where they want to visit, and we then run path-finding algorithms to find
the shortest route to cover all those locations. An Augmented path is rendered using Unity’s line
renderer to direct users

Challenges I ran into


Not all phones support AR features, so come up with a solution that covers the majority of
users.
As this app is made using AR Core but it’s not limited only to ARcore devices as it has no plane
detection or other.
AR Core features, just accelerometer and gyroscope.
GPS was not a solution due to the in-accuracy range of 4-5 meters, we had to figure out something
else with minimum extra hardware.


Accomplishments I'm  proud of

Indoor navigation is a problem everyone encounters, be it someone visiting a museum, employees
getting started with work, you shopping in a big mall, or sometimes as crucial as finding OTs,
or dispensaries in a hospital. We successfully made a solution and an application that is large scalable
accounting for all of the above that hasn’t been made previously. We are proud to convert 2d
navigation to real-world navigation which reduces a lot of inconveniences. Instead of storing a large
amount of data the app size is extremely small. We are proud of successfully implementing a cloud
platform that is storing a huge amount of data in the form of XML files. Providing the ability for the
owner of the place to create the map, makes the app more scalable to all the shops, buildings, and
areas for which the map is not available.

What I've learned


Working with firebase.
Making a solution that is intuitive, simple, and easy to use.
More robust use of AR in solving real-world problems

",https://github.com/NightKing1999/NavAR,https://youtu.be/D0VmogIqNk4,"Software Track, [Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Creative Hack , [Texas Instruments] Most Accessible Hack","c#, xml, unity, firebase",,kiet group of institutions,0,no,no,no,yes
InnoTank,https://robotech2022.devpost.com/submissions/318202-innotank,Submitted (Gallery/Visible),Pending,Submit,04/03/2022 08:59:56,"Inspiration

The problem we wanted to tackle is the lack of recycling. Recycling resources is one key aspect of sustainability. Water bottles are not recyclable when there are labels on it or contents inside. So, we made a fun, smart garbage bin that promotes sustainability through the fact that people simply love chucking things into the garbage bin, especially water bottles. Simple, fun, and convenient.

What it does

We made a fun, smart garbage bin that promotes sustainability through the fact that people simply love chucking things into the recycling bin, especially water bottles. Throw a water bottle at it, and it will suck it in. Then, it will separate the content, label, and the bottle itself and stores them.

How we built it

link Our design utilizes machine learning in order to recognize the patterns of different label positions on water bottles in order to rotate the desired amount to remove the label.
link This is a top-level design of the inside of the trash can. It separates trash from the bottle if the necessary conditions are fulfilled from the machine.

Challenges we ran into

Creating a pre-trained model from scratch takes a substantial amount of time to implement, and wasn't realistic for the time frame we had to finish this project. In addition to not finding a dataset that matched our needs and not having a fourth group member, we had to divert many tasks appropriately in order to code our solution.

Accomplishments that we're proud of

We managed to use Google Collab to implement an already found pre-trained model to detect water bottle. PyTorch, an open source machine learning framework, was also integrated into our project to help our Innotank detect accurately.

What we learned

We've learned how robust machine learning can be! There's a lot of time that goes into coding machines to perform logic for us instead of coding it ourselves. Additionally, we learned how to use numerous other software environments and open sources, such as PyTorch and Google Collab, in order to bolster our machine learning goals.

What's next for InnoTank

We want to open to door for InnoTank to be able to recognize other types of recyclable waste, such as cardboard with paper (and also false positives like soda cans) in order to be able to make our product more mainstream. Right now, we have the main coding base finished for our product, and all that's left is to expand its capabilities.
",https://github.com/ROBOTECH2022-Software-Track/InnoTank/blob/main/README.md,https://youtu.be/Gd6wWYjIP84,"","python, pytorch, fasterr-cnn, google-cloud",,"SUNY Stony Brook, Georgia Institute of Technology - Main Campus",2,no,no,no,yes
Algae Bloom Busters,"",Draft,Pending,Project overview,04/03/2022 09:07:28,"","",,"","",,"",0,"","","",""
EcoBud,https://robotech2022.devpost.com/submissions/318215-ecobud,Submitted (Gallery/Visible),Pending,Submit,04/03/2022 09:14:00,"Inspiration

In 2020, agricultural activities were responsible for emissions of 594.7 MMT CO2 Eq., or 10.0 percent of total U.S. 13 greenhouse gas emissions.

What it does

Smart, self-sustaining “greenhouse”; self-contained growing system that monitors and sustainably cultivates plants from seed to maturity.
Features:
    Collects environmental data:
Soil moisture
Temperature
Humidity
Evaporation rates
Pressure
    Irrigation system
        Use smartphone to water plants without wasting water
    Machine learning
        Based on environmental factors:
Location
Weather (ex. if it’s raining tomorrow, no need to water today)
Plant being grown

How we built it

Grow LED light - the Chlorophyll in plants primarily responds to only two wavelengths, represented by 450nm & 650nm. The LED system which I am planning to use will have a combination of red and blue LED lights to provide the perfect blend to help in both vegetative and flowering growth.
Ultrasonic Atomizer (fog maker) – Uses a new method of irrigation called aeroponics that waters the plants through fertilizer-infused mist.
Automatic Nutrient Dosing - This system will automatically dose the nutrients for plants exactly when they need it.
Water Sensing System - The system will be equipped with pH and TDS (Total Dissolved Solids) sensors to help maintain a balanced pH value in the water reservoir that will suit best for plants as well as knowing and alerting when to dose the nutrients.
Water Exchange System - the system will be equipped with a hookup for automatic water changes. I want to make this process easy, and controlled just by the click of a button.
Air Control System - Will allow for precise control over temperature and humidity inside the system, down to a single degree. The technology behind involves the use of a Temperature/Humidity sensor like DHT22 or DHT11 to receive the data, and a fan with a coil to regulate it accordingly.
Mobile App - An app with features that include include real time information about the pH level, temperature, humidity, nutrients, ppm etc. and a graph representation over time in order to track statistics and share the growth progress on social media. The app will send intelligent alerts that will let users know when the system needs user action. I also want not only to receive the data representation on my phone, but also be able to setup the climate conditions inside the system!

Accomplishments that we're proud of

Incentivize home gardens to decrease demand for produce
Decrease carbon emissions 
Agricultural Production
Processing
Packaging
Pre-retail transportation
Retail
Post-retail transportation

What's next for EcoBud
","",https://youtu.be/CACXnFySLpM,"Design Track, Software Track, [Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Creative Hack , [Texas Instruments] Most Accessible Hack","cloud, amazon-web-services, django, ios, arduino",,Georgia Institute of Technology - Main Campus,1,no,no,yes,yes
Algae Attack,"",Draft,Pending,Project details,04/03/2022 09:26:01,"Inspiration

As a group that is predominantly from Florida (Go Gators!) and the coast, we have grown up surrounded by water out whole lives. Recently however, our homes have been more and more put at risk due to the increased frequency of Red Tide. 

Red Tide is a phenomenon that occurs when algae grows in a body of water very rapidly and causes the water to turn red via the production of toxins. These toxins can cause burning and irritation of the eyes and skin in humans. In aquatic life, these toxins can greatly harm and cause a massive loss of life due to the effects of the toxin on marine animal. 

The effects on humans while problematic is nothing compared to the massive loss of aquatic life that occurs within our communities. One reason why these issues keep occurring is because the agencies that typically attack these issues are often chronically underfunded so if this issue is going to be solved, a smarter solution is needed. That is where we come in

What it does

We have developed Algae Attack as a proof of concept device that can be used to make the monitoring, tracking, and response of Algae blooms much more manageable and cheaper. To start off we have written 2 major sets of code. One of these sets of code is simulating the field IOT devices that would go in the wild and measure the parameters of water which is often done by an environmental scientist. This IOT device sends important metrics to a web-server we have hosted in the Cloud where it will be stored. This data is then fed forward into our Machine Learning algorithm where it predicts the likelihood that an Algae bloom will occur. This data is then passed to our front end where it is integrated so users can easily track and see the severity levels of future algal blooms! 

How we built it

Using the MERN Web-stack, TensorFlow, and Python

Challenges we ran into

Integrating all parts of the project together proved to be challenging but luckily after a very sleepless night we pulled through.

Accomplishments that we're proud of

Creating a full stack Web-app, machine learning algorithm, and functional and reasonable manufacturing plan.

What we learned

How to work and code without sleep

What's next for Algae Attack

Improving our app with more functionality 
",https://github.com/jmho/algaeattack,https://youtu.be/T-FyZLrwoc4,"","mern, python, tensorflow",,University of Florida,2,"","","",""
The Science Blueprint,"",Draft,Pending,Project overview,04/03/2022 09:30:33,"","",,"","",,Florida Agricultural and Mechanical University,0,"","","",""
